31
Acenaphthene-(H2O)3 Isomer 2 [DDU]
C -1.056782 2.255193 0.051150
C 0.164502 1.543735 0.257205
C 0.045595 0.217563 0.769159
C -1.190167 -0.402019 1.091074
C -2.365275 0.316235 0.883107
C -2.281121 1.646610 0.360104
H -1.038304 3.275551 -0.345923
H -3.346795 -0.112358 1.109556
H -3.206352 2.209202 0.198299
C 1.490785 2.009035 0.002774
C 2.586720 1.177390 0.269138
C 2.433613 -0.150500 0.784402
C 1.150874 -0.633428 1.033749
H 1.652907 3.016042 -0.395564
H 3.596055 1.554341 0.074670
H 3.322523 -0.761979 0.970062
C -0.920579 -1.797308 1.633952
H -1.279717 -1.884491 2.672600
H -1.434266 -2.559671 1.029913
C 0.636881 -1.968763 1.550553
H 1.075190 -2.211918 2.531902
H 0.900545 -2.775750 0.850100
O 1.357625 -0.351748 -2.450276
H 1.077612 -1.192997 -2.041336
H 1.809305 0.116020 -1.730417
O -0.401189 -2.418105 -1.453975
H -0.608903 -3.134997 -2.067587
H -0.969990 -1.669912 -1.752512
O -1.437525 -0.049307 -2.414207
H -0.485228 0.144338 -2.545508
H -1.705137 0.558335 -1.706818
