31
Acenaphthene-(H2O)3 Isomer pm7-94-4465
C 1.196471 -0.714845 -1.920769
C -0.098409 -0.697876 -1.315216
C -0.431318 0.470700 -0.569861
C 0.426862 1.594293 -0.429603
C 1.690014 1.543539 -1.017405
C 2.060621 0.375786 -1.758594
H 1.512595 -1.578967 -2.515628
H 2.395603 2.376544 -0.933891
H 3.050692 0.340579 -2.224298
C -1.090459 -1.723301 -1.363141
C -2.312333 -1.544859 -0.701810
C -2.612142 -0.363812 0.050783
C -1.658868 0.650544 0.118918
H -0.897374 -2.649232 -1.914556
H -3.061212 -2.341537 -0.751134
H -3.575641 -0.280542 0.563635
C -0.305033 2.674300 0.359450
H -0.552077 3.517050 -0.307688
H 0.300382 3.077110 1.186586
C -1.609353 1.970871 0.873918
H -2.507349 2.584846 0.704037
H -1.540308 1.775791 1.957585
O 1.517985 0.434312 2.375649
H 0.728963 -0.147490 2.422118
H 1.394109 0.905037 1.537719
O 2.278761 -1.980385 0.977400
H 2.244872 -1.640022 0.070530
H 2.350750 -1.163744 1.510938
O -0.316384 -1.701083 2.129717
H -1.003701 -1.614375 1.452015
H 0.444075 -2.086344 1.648666
