31
Acenaphthene-(H2O)3 Isomer efp-4
C -0.699943 0.522868 0.035959
C -1.330670 -0.061851 1.174175
C -2.532408 -0.792946 0.928492
C -0.676700 0.137021 2.430287
C -3.030932 -0.897141 -0.374574
C 0.519947 0.865589 2.489988
C -2.378941 -0.291722 -1.495230
C 1.132680 1.429440 1.326616
C -1.205083 0.426633 -1.286649
C 0.511100 1.260303 0.091597
C -0.276774 1.179579 -2.228089
C 0.885274 1.705872 -1.313739
H 0.108958 0.511242 -3.012100
H 1.854061 1.274392 -1.608154
H -0.808940 2.010510 -2.719978
H 0.981797 2.802493 -1.368542
H -2.812069 -0.402249 -2.494839
H 2.079877 1.969195 1.420025
H -3.952926 -1.462907 -0.543955
H 1.007097 1.000883 3.461177
H -3.063432 -1.270936 1.758455
H -1.109556 -0.279397 3.346273
O 3.543057 -0.475268 -0.256225
H 3.007199 -0.814733 -1.002630
H 4.438135 -0.792594 -0.430917
O 1.397967 -1.983285 0.937340
H 2.216398 -1.452084 0.914077
H 0.786813 -1.441097 1.462331
O 1.419288 -1.504265 -1.767369
H 1.363333 -2.318411 -2.283564
H 1.171792 -1.774939 -0.852342
