31
Acenaphthene-(H2O)3 Isomer D-2
C -1.424885 1.992329 -0.409859
C -0.092008 1.483065 -0.486719
C 0.038874 0.095968 -0.793861
C -1.058810 -0.774723 -1.024531
C -2.347482 -0.251274 -0.943999
C -2.514212 1.138799 -0.636482
H -1.596892 3.049263 -0.179836
H -3.231002 -0.875375 -1.112394
H -3.528007 1.549827 -0.584249
C 1.123380 2.206920 -0.288761
C 2.354498 1.548960 -0.409949
C 2.451585 0.155537 -0.725498
C 1.282691 -0.576183 -0.920463
H 1.094888 3.274096 -0.045073
H 3.275855 2.120415 -0.257677
H 3.438784 -0.310573 -0.805487
C -0.532631 -2.167942 -1.332276
H -0.865916 -2.498399 -2.329826
H -0.895768 -2.894456 -0.590573
C 1.028099 -2.036933 -1.256938
H 1.505692 -2.307954 -2.212739
H 1.432771 -2.692047 -0.471469
O 1.297005 0.255733 2.536875
H 0.338141 0.430307 2.533974
H 1.615782 0.719595 1.747308
O 0.154612 -2.305289 1.762930
H 0.784737 -1.609171 2.027782
H -0.684786 -1.912176 2.044287
O -1.594163 0.125416 2.362396
H -2.226938 0.520745 2.976429
H -1.878052 0.440026 1.486036
