17
S2W1-I_a	E[RI-MP2/aV[DTQ]Z//MP2/6-31+G*] 1474.4401	1475.2183	1475.4751
S       -1.34861       -0.54047       -0.08446
O       -1.24825       -0.55098        1.51317
O       -1.09211        0.83112       -0.56428
O       -2.86409       -0.89693       -0.25924
O       -0.54300       -1.61746       -0.64953
H       -0.29612       -0.34659        1.72907
H       -3.41191       -0.04605       -0.16125
S        2.30934        0.24704        0.10891
O        2.24489       -1.09439       -0.76757
O        1.41029        0.07742        1.26328
O        1.66148        1.36099       -0.84848
O        3.69954        0.57858        0.27525
H        1.31246       -1.43652       -0.78207
H        0.66981        1.29373       -0.81067
O       -4.01504        1.48041       -0.06923
H       -3.27706        2.08319       -0.28086
H       -4.39838        1.79715        0.76768
