17
S2W1-I_b	E[RI-MP2/aV[DTQ]Z//MP2/6-31+G*] 1474.4403	1475.2182	1475.4747
S       -1.52601       -0.75146       -0.06417
O       -1.24966       -0.57906        1.49734
O       -0.51011       -1.61073       -0.66482
O       -1.18915        0.72265       -0.64509
O       -2.94296       -1.01760       -0.20404
H       -0.27620       -0.37219        1.60856
H       -1.97135        1.33468       -0.43383
S        2.26438        0.25628        0.11130
O        1.58131        1.26143       -0.94078
O        3.63739        0.65726        0.26404
O        2.26396       -1.15116       -0.65268
O        1.36051        0.15080        1.27031
H        0.59417        1.17406       -0.89337
H        1.33209       -1.49085       -0.70349
O       -3.43494        2.00415       -0.05894
H       -3.54806        2.50697        0.76687
H       -4.07546        1.26832       -0.02152
