17
S2W1-I_c	E[RI-MP2/aV[DTQ]Z//MP2/6-31+G*] 1474.4388	1475.2175	1475.4742
S        1.79255       -0.42096       -0.00519
O        2.40593        0.96311       -0.43815
O        1.10344       -0.26400        1.28270
O        3.14363       -1.26164        0.18987
O        1.09218       -1.08957       -1.09396
H        1.73796        1.73699       -0.25637
H        3.67553       -0.86384        0.91434
S       -2.14311       -0.08798       -0.03152
O       -1.69427       -0.47134        1.46047
O       -3.58139       -0.01569       -0.03273
O       -1.72363       -1.37047       -0.89763
O       -1.30053        1.03053       -0.48228
H       -0.70581       -0.39967        1.53205
H       -0.75230       -1.32451       -1.10122
O        0.69786        2.85191        0.02961
H       -0.18118        2.41523       -0.04684
H        0.68916        3.59623       -0.59773
