17
S2W1-I_f	E[RI-MP2/aV[DTQ]Z//MP2/6-31+G*] 1474.4371	1475.2153	1475.4721
S        1.60602       -0.58830       -0.03965
O        1.13913        0.05707        1.34832
O        2.86143       -1.26053        0.24216
O        1.84339        0.67408       -0.98304
O        0.48147       -1.30849       -0.64150
H        0.21828        0.42622        1.23493
H        2.72153        1.09363       -0.71653
S       -2.46675        0.33335        0.01568
O       -2.75640       -0.96307        0.94921
O       -3.70442        1.01554       -0.28764
O       -1.95139       -0.31319       -1.34513
O       -1.36169        0.99949        0.70276
H       -3.57161       -1.40850        0.62873
H       -1.03541       -0.69416       -1.19982
O        4.26559        1.36946       -0.05283
H        4.37905        2.00282        0.67696
H        4.52293        0.49626        0.30076
