17
S2W1-I_g	E[RI-MP2/aV[DTQ]Z//MP2/6-31+G*] 1474.4343	1475.2123	1475.4690
S        2.40453       -0.13636        0.12495
O        1.48839       -1.44060        0.15656
O        1.66155        1.01320        0.62730
O        2.54251        0.16708       -1.46571
O        3.68907       -0.52499        0.66562
H        0.55804       -1.20130       -0.12365
H        3.14594       -0.49992       -1.86121
S       -2.24988       -0.40886       -0.13132
O       -1.94616       -0.57831        1.46035
O       -0.92467       -0.56591       -0.73566
O       -2.70206        1.09476       -0.26309
O       -3.37125       -1.24823       -0.49546
H       -2.79586       -0.74482        1.92440
H       -1.88556        1.71244       -0.16918
O       -0.58208        2.60242       -0.01099
H        0.23104        2.05945        0.09831
H       -0.57028        3.24221        0.72190
