32
I_a	E[RI-MP2/aV[DTQ]Z] -1855.8456	-1,856.9611	-1,857.3295
S          2.39345        0.68459        0.19240
O          3.74065        0.29041       -0.53635
O          2.10818       -0.26848        1.26507
O          1.26918        0.50627       -0.94769
O          2.46678        2.11295        0.45650
H          3.77090       -0.71791       -0.69121
H          1.05276       -0.48910       -1.05422
S         -2.46276       -0.93541        0.24600
O         -1.83770        0.16878        1.22108
O         -1.72167       -0.88844       -1.01993
O         -3.95200       -0.44980       -0.00408
O         -2.53215       -2.16366        1.02191
H         -1.52232        0.95597        0.66395
H         -3.92907        0.34720       -0.63247
O          0.87246       -2.10475       -1.16194
H          0.03646       -2.19460       -1.66053
H          0.63297       -2.36785       -0.22261
O          0.34487       -2.60080        1.42428
H          0.70320       -1.79534        1.84445
H         -0.61770       -2.60296        1.60509
O          3.64360       -2.30905       -1.02741
H          3.87455       -2.90906       -0.29696
H          2.70529       -2.50245       -1.25447
O         -3.61900        1.70438       -1.55105
H         -4.22477        2.46281       -1.49565
H         -2.72068        2.04068       -1.32218
O         -1.08038        2.10980       -0.44279
H         -0.33565        1.65412       -0.89301
H         -0.66536        2.89970       -0.00300
O          0.40151        4.05352        0.79004
H          1.24895        3.56121        0.80277
H          0.26475        4.38170        1.69458
