32
II_b	E[RI-MP2/aV[DTQ]Z] -1855.8463	-1,856.9628	-1,857.3314
S         -2.54607       -1.08020       -0.17751
O         -1.97111       -0.03044       -1.27071
O         -2.06062       -0.64965        1.13957
O         -1.81521       -2.44077       -0.56029
O         -3.95364       -1.22563       -0.46546
H         -0.99271        0.12652       -1.07851
H         -0.85817       -2.39547       -0.25366
S          1.35305       -0.70102        0.17473
O          1.70688       -0.25234        1.54787
O          2.75081       -0.77989       -0.66512
O          0.59074        0.31977       -0.59391
O          0.78470       -2.07726        0.13151
H          3.25392       -1.58008       -0.32242
O          0.95363        2.29885        1.82673
H         -0.10051        2.25498        1.75490
H          1.28135        1.34599        1.81340
H          1.32273        2.73886        0.97830
O          3.50272       -3.10860        0.46622
H          2.56465       -3.36803        0.56556
H          3.87291       -3.10294        1.36600
O          1.90697        3.38110       -0.33297
H          2.57476        4.08116       -0.23495
H          2.26825        2.74857       -1.01190
O          3.03699        1.66538       -2.15057
H          2.51817        1.55718       -2.96573
H          3.04245        0.77863       -1.73212
O         -2.79658        2.67193       -0.71412
H         -3.72754        2.94350       -0.78497
H         -2.73409        1.79480       -1.14514
O         -1.56209        2.09904        1.70509
H         -1.79758        1.14471        1.69482
H         -1.99397        2.45915        0.89019
