32
II_c	E[RI-MP2/aV[DTQ]Z] -1855.8443	-1,856.9604	-1,857.3285
S          2.64208       -0.40464       -0.63808
O          2.04990        1.09689       -0.58672
O          1.49950       -1.30922       -0.85145
O          3.13707       -0.55847        0.86014
O          3.80186       -0.46099       -1.49837
H          1.15104        1.13607       -1.04148
H          2.31088       -0.55626        1.45581
S         -1.43585        1.31611       -0.45232
O         -1.18317        0.27490        0.56688
O         -1.12864        2.70703        0.40406
O         -2.84191        1.39747       -0.90245
O         -0.45440        1.31439       -1.57641
H         -1.35453        3.47397       -0.16644
O         -2.24223       -2.48270       -0.00579
H         -1.72576       -2.13619       -0.83007
H         -2.99917       -1.82197        0.18062
H         -1.61398       -2.50394        0.79635
O         -0.65056       -2.70651        2.07701
H         -0.09578       -1.94092        2.35802
H         -0.04873       -3.46947        2.02860
O         -4.16389       -0.74761        0.33219
H         -3.85576        0.11037       -0.04753
H         -5.03395       -0.93166       -0.06182
O          1.21185        2.38005        2.23510
H          0.39938        2.66980        1.77593
H          1.88468        2.35125        1.52955
O         -0.94724       -1.66352       -2.09999
H         -0.01124       -1.53344       -1.82156
H         -1.20280       -0.79237       -2.45999
O          0.87085       -0.37002        2.23331
H          1.00749        0.48449        2.70869
H          0.21666       -0.09682        1.54179
